"name","position","company","image","bio","venue","day","time","topic","topic_summary"
"Susan Kushnir","Global Head of Investment Bank Talent and Development","Deutsche Bank","https://eco-cdn.iqpc.com/eco/images/speakers/jmQCtMBYqMr3QdpAVbr48CHnK3ZZTPFr5cyFXxvb.png","Susan is a thought leader in the field of learning, talent development and executive coaching. Sue is currently the Global Head of Investment Bank Learning & Development at Deutsche Bank and a Chief Guide She has been a senior leader at a variety of companies including Sterling National Bank, S&P Global, Girl Scouts of USA, Porter Novelli, and JPMorgan Chase.     Her newest book, Decoding Executives: What They Say, What They Mean and What You Should Do, is available on Amazon. She is also the author of a textbook for Scott Foresman and has written articles for a variety of publications. She was also an adjunct professor at the New School for Social Research.    Susan holds a B.S. from Syracuse University, an Ed.M. from Harvard University, and certifications as a Certified Professional Coach (CPC); Senior Professional in Human Resources; Senior Certified Professional; Associate Certified Coach (ACC), and Hogan Assessment Practitioner.     In her spare time, she travels with her husband and two children and takes the occasional African-Caribbean Dance Class.","Main Conference Day Two","2024-01-30","11:10:00","IDG F: Building Scalable Innovation and Business Transformation with Process Intelligence",""
"Justin Singh","Chief Transformation and Strategy Officer","McGraw Hill","https://eco-cdn.iqpc.com/eco/images/speakers/JjEuzg2ece0Uwy7K0u3OyZMSbDqz0IiWkq0lTbjK.png","Justin Singh was named Chief Transformation and Strategy Officer in June 2022. In his role, he drives McGraw Hill's digital transformation agenda, focusing on positioning McGraw Hill to serve the needs of students, instructors and education institutions of today and the future.  Justin leads corporate strategy, transformation, business development and imperative growth programs across the company. He works to set McGraw Hill's strategic direction, unlock efficiencies and drive long-term business transformation projects. Furthermore, Justin oversees McGraw Hill's inorganic and digital innovation portfolio.  Before joining McGraw Hill, Justin held roles at EY Strategy with extensive global experience in the education industry. Justin has an MBA from The Kellogg School of Management at Northwestern University and a bachelor's degree in commerce from The University of Melbourne.","Pre-Conference Focus Days (Workshops and Focus Days Running Concurrently. Choose THREE workshops or ONE focus day to attend)","2024-01-29","09:00:00","Opening Panel: Demystifying Generative AI in the Context of Enterprise Transformation","This session will look to explain what Generative AI is and will take a practical look at how generative AI can drive business transformation and innovation.
·       What is Generative AI and how is it different from AI?
·       What are the practical applications for Generative AI in key transformation areas?
·       How do you choose and prioritize the project?
·       How to prepare your organization for the better use of Gen AI from data, process and people perspectives?
·       How to integrate generative AI into your existing workflows and business processes
·       What does Generative AI mean for your technology stack and systems set up?"
"Gabriel Millien","Former Global Director, Operational Innovation & Digital Transformation","UL","https://eco-cdn.iqpc.com/eco/images/speakers/Ea4uD9ekQhLPyaZSXV37T5fcpSWfCUxoGzGTBh3y.png","","Main Conference Day Three & Post-Conference Masterclasses","2024-01-31","11:05:00","Exploring Advanced Application of Automation, Robotics and AI for Business Model Innovation","At UL, Gabriel Lead the global Operational Innovation team focusing on leveraging advanced technologies to enhance core business operations while building the foundations for long term digital business model innovation. Join this session to hear some of the key applications they have developed, including:
·       Rethinking the business model by applying digital innovations such as applied modelling, artificial Intelligence, machine learning, data science, simulation, robotics, and intelligent automations
·       What does this mean for the future workforce?
·       Partnering with the other functions to develop connected systems and apply processes in a more automated way
·       Why are companies that start with technology missing the point?"
"Matt Bromberg","Corporate Vice President of Global Operations","Northrop Grumman","https://eco-cdn.iqpc.com/eco/images/speakers/Qie4IVQR0C3gfjwRBN0wVKpkgqoPHP0hkyc4SZlS.png","Matt Bromberg is corporate vice president of Global Operations for Northrop Grumman, a technology   company focused on global security and human discovery.   Bromberg is responsible for enterprise-wide strategy and execution of programs, operations, quality,   global supply chain and technology functions. He partners with Northrop Grumman sector presidents to   deliver customer focused and valued solutions. Bromberg also leads the corporate Global Operations   Council and sits on the company’s executive leadership team.  Prior to joining Northrop Grumman, Bromberg led global teams across the industrial, aerospace and   defense industries. Most recently, Bromberg was president of Military Engines at Pratt & Whitney—a   division of Raytheon Technologies. Prior to joining Raytheon, he was an Investment Banker with   Goldman Sachs, and he served as a submarine officer in the U.S. Navy.   Bromberg earned a bachelor’s degree in physics from the University of California, Berkeley, and a   Master of Business Administration and a master’s degree in mechanical engineering from the   Massachusetts Institute of Technology.  Presently, he serves on the Board of Governors of the United Services Organization, and on the Board   of Trustees of the Naval Aviation Museum Foundation. Bromberg also serves as a strategic advisor to   the Massachusetts Institute of Technology Leaders for Global Operations program. He is also the   executive sponsor for the Northrop Grumman Employee Resource Group VERITAS (Veterans,   Employees and Reservists Inspired to Act and Serve).","Main Conference Day Two","2024-01-30","08:45:00","Striving and Achieving the Unprecedented: Overcoming Macro-Economic Challenges through Intelligent Operations and Modern Supply Chain Transformation","As a company that led the industry team to build NASA's James Webb Space Telescope, delivering “out-of-this-world” transformation and striving for the unprecedented is everyday life at Northrop Grumman. When it comes to shaking off the aftershock of global supply chain disruption, the team has adopted a hugely proactive approach to driving modern supply chain transformation and embedding resilience in their global operations. Join this session to hear their unique perspectives and ambitious digital transformation journey:
·       How is the modern supply chain impacting macro-economics, manufacturing and the nature of our business?
·      Outlining the key transformation focus areas: Robotics Automation, Advanced Manufacturing, AR/VR
·      Developing a transformational ecosystem with people, teams and partners behind the scenes"
"Nick Bontkowski","Director, Digital Transformation and Adoption","apty","https://eco-cdn.iqpc.com/eco/images/speakers/nmjmQZcCq2uG3HpMt1v5IdPnp3i3psvIDNvjredw.png","• Digital Adoption & Transformation Expert at Apty.","Main Conference Day Two","2024-01-30","11:00:00","IDG I: Why do Transformations Fail? Reduce Risk of Transformation Failure Through Process Understanding",""
"Carolyn Lum","Vice President, Operational Excellence","Philip Morris International","https://eco-cdn.iqpc.com/eco/images/speakers/NXipVN1lsLRNcAgXcnCOD6tazbsjvEJmuBNJ71XW.png","Carolyn Lum is currently Vice President of Operational Excellence at Philip Morris International in Lausanne, Switzerland. She has more than 35 years of experience in the areas of Manufacturing Operations, Lean, Continuous Improvement, Product Engineering and New Product Introduction.    At her last position as Senior Vice President, Business Transformation and Head of Continuous Improvement at Philips, Carolyn made a breakthrough in 2015 by bringing daily management, structured problem solving (PRIDE) and Kaizens into all parts of the company. She was one of the key drivers in bringing a structured approach to reverse a negative trend in order-in-take (OIT) and turn it into a positive one. Carolyn was one of six winners of the Philips CEO Awards in 2018, recognized for her and her team’s contributions to Operational Excellence company-wide.     Previously Carolyn worked at Danaher Corporation as a Site Lead and more recently as the Senior Corporate Director – Danaher Business System. In this role, she managed a group tasked with supporting Danaher companies in North America, Europe and Japan with the implementation of the Danaher Business System and was also Director of the DBS University in Europe.    Prior to that, Carolyn worked at PerkinElmer Optoelectronics as the NPI Program Manager and also as a Site Leader for their Lighting Production Facility in Fremont, California. She started her career at General Motors as a Product and Manufacturing Engineer, Operations Manager and Lean Implementation Change Agent.","","","","",""
"Chet Harter","Vice President - Global Center of Excellence","SAP Signavio","https://eco-cdn.iqpc.com/eco/images/speakers/NjzLOM8pEG9T5bZc7B0iaV2NAOl1VOBCqkFJ9PMN.png","Chet Harter is a member of the SAP Signavio Center of Excellence and has been with SAP for 19 years.  A former operations and materials professional in the manufacturing industry, he focused on the management of operational business processes and continuous improvement programs. As a member of SAP’s Signavio Center of Excellence, Chet is currently helping customers understand SAP's solutions for business process management and process automation/improvement.","Main Conference Day Two","2024-01-30","14:00:00","Transformation and Continuous Performance Improvement with Digital BPM","Applying new technologies to time-tested approaches for managing company performance offers unprecedented opportunities for company-wide improvement and establishing a culture of continuous improvement. Join this session to hear key insights on:
·       Monitoring and analyzing business process health with data-driven insights
·       Designing and redesigning automated processes collaboratively across business and IT
·       Streamlining and automating processes to improve effectiveness and reduce costs"
"Sasan Sadr","Director, Enterprise Continuous Improvement","Ulta Beauty","https://eco-cdn.iqpc.com/eco/images/speakers/zhBUzm0qOjJaTyi4JKoMSdsQtiET2BJowJkyesjE.png","Sasan is an established business transformation executive with operational and technology experience across multiple industries.  A scientist at heart, he has adapted and applied process improvement (Lean / Sigma), Business Process Management, and Intelligent Automation to drive tangible business outcomes and is currently immersed in transformation of Ulta Beauty into a modern BPM enterprise.  Sasan holds a PhD in Experimental High Energy Physics from Northwestern University and completed his undergraduate work in Aerospace Engineering at the University of Notre Dame.","Main Conference Day Two","2024-01-30","11:10:00","IDG H: Combining Process Improvement Methodologies with Technology Tools for the Next Generation of Process Transformation",""
"Marc Stromberg","Co-Founder and Key Account Manager","GBTEC","https://eco-cdn.iqpc.com/eco/images/speakers/Ncju9KdYQpillQ4YHSE5VYPOqIlwZnhJssnLMYva.png","Marc has more than 20 years of BPM experience and has been responsible for global sales at GBTEC for more than 15 years. In his role as a Key Account Manager, he is responsible for empowering international corporations around the world to advance their process excellence and business transformation initiatives. Marc’s technological know-how combined with his professional expertise is a perfect symbiosis and has pushed thousands of process optimization and automation projects to peak performance.","Main Conference Day Two","2024-01-30","14:00:00","Inspiring Case Study: Charting a Course for Operational Excellence – Presented by MedTech Leader Olympus and GBTEC","Join us for an inspirational journey as we unveil a captivating case study on the reinvention of Operational Excellence. Discover transformative strategies that demystify methodologies and technologies, fostering accessibility and accelerating day-to-day work. Delve into a new perspective on continuous improvement, explore diverse cultural influences on processes, and uncover the secrets of empowering employees to drive business transformation and embrace change.
Learn how Olympus democratizes methodologies and technologies, fostering a culture of understanding and usability to accelerate and simplify day-to-day work across the organization.
Explore the paradigm shift in continuous improvement, embracing forward-looking thinking to achieve goals that transcend traditional approaches.
Unveil the formula of empowering and enabling employees to take ownership, drive business transformation and create a competitive edge."
"Ashutosh Chaudhari","Senior Director, Process & Automation","Cisive","https://eco-cdn.iqpc.com/eco/images/speakers/Io5ma6n3uUz5mQXxKS4doJv7O5sMz7JsRJdkxjOy.png","","Pre-Conference Workshops, Focus Days & Main Conference Day One","2024-01-29","08:20:00","A3: Developing Enterprise Process Architecture: Building Core Process Excellence & Automation Capabilities","This session will look at effective models and approaches to build an integrated Enterprise Process Architecture to drive process capabilities and keep up with your transformation requirements.
·       Defining, developing, and maintaining enterprise process architecture from value streams
·       Visualize enterprise process architecture through enterprise process modelling across BU's
·       Leveraging advanced automation and analytics tools to drive a greater level of operational excellence and business process resiliency
·       Mitigating operational risk, improving governance through operational and process automation"
"Nick Racster","CEO & Founder","KaizApp AG","https://eco-cdn.iqpc.com/eco/images/speakers/1rQ8Xa6gixWx4y0eUxFYqzracpzzo7Lr7JJfmquy.png","Nick has spent over 25 years leading performance improvement in global companies such as ABB and Anglo American as well as leading consulting firms in this space including WCI Group, Capgemini and private equity firm Sun European Partners.   The birth of KaizApp was brought about because of Nick’s own profound experience of seeing first-hand how the use of technology helped people in organisations get better at solving problems.    As an operations leader, he has been successful in enabling more leaders to engage more of their people in collaborating on problem solving which led to a sustained culture of continuous improvement and to better financial results.   Nick now leads KaizApp and continues to be involved in the development of the product with customers.","Pre-Conference Workshops, Focus Days & Main Conference Day One","2024-01-29","10:00:00","B2: Accelerate Financial Returns from Continuous Improvement Using AI and KaizApp – the Operating System for CI","Join this interactive workshop to see how problem solving supported by AI can engage everyone in your organisation to deliver stronger financial returns
·       Learn why Lean implementations don’t typically lead to a sustained Continuous Improvement culture
·       Discover how to mobilise Continuous Improvement to become a growth driver
·       Learn how digital tools and AI can accelerate a sustained improvement culture"
